nconst,primaryName
nm0000698,Gene Wilder
nm0000699,Michael Wincott
nm0000703,BD Wong
nm0000704,Elijah Wood
nm0000708,Billy Zane
nm0000717,Kareem Abdul-Jabbar
nm0000718,Ian Abercrombie
nm0000719,F. Murray Abraham
nm0000722,Joss Ackland
nm0000728,Mario Adorf
nm0000729,Casey Affleck
nm0000730,John Agar
nm0000731,Brian Aherne
nm0000732,Danny Aiello
nm0000734,Eddie Albert
nm0000741,Tim Allen
nm0000747,Don Ameche
nm0000748,Leon Ames
nm0000754,Kevin Anderson
nm0000755,Lindsay Anderson
nm0000763,Dana Andrews
nm0000764,André René Roussimoff
nm0000767,Jean-Hugues Anglade
nm0000778,Alfonso Arau
nm0000784,Pedro Armendáriz
nm0000790,James Arness
nm0000792,Tom Arnold
nm0000794,Lewis Arquette
nm0000796,Dana Ashbrook
nm0000798,Linden Ashby
nm0000799,Edward Asner
nm0000800,Armand Assante
nm0000803,Christopher Atkins
nm0000809,Daniel Auteuil
nm0000811,Frankie Avalon
nm0000817,Lew Ayres
nm0000821,Amitabh Bachchan
nm0000822,Jim Backus
nm0000833,Joe Don Baker
nm0000835,Ralph Bakshi
nm0000836,Scott Bakula
nm0000837,Bob Balaban
nm0000838,Daniel Baldwin
nm0000842,Martin Balsam
nm0000846,Ian Bannen
nm0000849,Javier Bardem
nm0000852,Jean-Marc Barr
nm0000855,Raymond J. Barry
nm0000858,John Barrymore
nm0000859,Lionel Barrymore
nm0000860,Paul Bartel
nm0000861,Freddie Bartholomew
nm0000863,Billy Barty
nm0000865,Richard Basehart
nm0000867,Jason Bateman
nm0000869,Alan Bates
nm0000871,Randall Batinkoff
nm0000872,Patrick Bauchau
nm0000874,Steven Bauer
nm0000885,Ned Beatty
nm0000886,Warren Beatty
nm0000890,Noah Beery Jr.
nm0000891,Wallace Beery
nm0000892,Jason Beghe
nm0000893,Ed Begley Jr.
nm0000896,Harry Belafonte
nm0000897,Ralph Bellamy
nm0000901,Jean-Paul Belmondo
nm0000902,Jim Belushi
nm0000903,Brian Benben
nm0000904,William Bendix
nm0000905,Roberto Benigni
nm0000907,Richard Benjamin
nm0000908,David Bennent
nm0000911,Nigel Bennett
nm0000912,Jack Benny
nm0000913,Robby Benson
nm0000916,Peter Berg
nm0000920,Patrick Bergin
nm0000925,Steven Berkoff
nm0000926,Milton Berle
nm0000929,Corbin Bernsen
nm0000937,Richard Beymer
nm0000942,Theodore Bikel
nm0000946,Whit Bissell
nm0000948,Shane Black
nm0000952,Hart Bochner
nm0000953,Peter Bogdanovich
nm0000954,Jon Bon Jovi
nm0000955,Ward Bond
nm0000959,Powers Boothe
nm0000960,Barry Bostwick
nm0000961,Timothy Bottoms
nm0000963,Stephen Boyd
nm0000964,Charles Boyer
nm0000967,Eric Braeden
nm0000969,Lillo Brancato
nm0000970,Jonathan Brandis
nm0000973,Benjamin Bratt
nm0000974,Walter Brennan
nm0000977,Beau Bridges
nm0000978,Lloyd Bridges
nm0000979,Wilford Brimley
nm0000980,Jim Broadbent
nm0000981,James Brolin
nm0000982,Josh Brolin
nm0000983,Albert Brooks
nm0000984,Avery Brooks
nm0000986,Bryan Brown
nm0000987,Jim Brown
nm0000989,Yul Brynner
nm0000994,Raymond Burr
nm0000996,LeVar Burton
nm0000997,Gary Busey
nm0000998,Jake Busey
nm0000999,Red Buttons
nm0001001,James Caan
nm0001002,Dean Cain
nm0001003,Simon Callow
nm0001004,Billy Campbell
nm0001006,John Candy
nm0001013,Harry Carey Jr.
nm0001015,Robert Carlyle
nm0001016,David Carradine
nm0001017,John Carradine
nm0001018,Keith Carradine
nm0001019,Robert Carradine
nm0001022,Dana Carvey
nm0001023,John Cassavetes
nm0001024,Nick Cassavetes
nm0001025,Seymour Cassel
nm0001028,Maxwell Caulfield
nm0001029,Jim Caviezel
nm0001030,John Cazale
nm0001033,Lon Chaney Jr.
nm0001035,Ben Chaplin
nm0001037,Graham Chapman
nm0001038,Josh Charles
nm0001045,Tommy Chong
nm0001048,Andrew Dice Clay
nm0001050,Montgomery Clift
nm0001056,Dabney Coleman
nm0001059,Robbie Coltrane
nm0001062,Jeffrey Combs
nm0001063,Jeff Conaway
nm0001064,Jason Connery
nm0001065,Harry Connick Jr.
nm0001066,Robert Conrad
nm0001067,Jackie Coogan
nm0001069,Bud Cort
nm0001070,Bill Cosby
nm0001072,Joseph Cotten
nm0001074,Ronny Cox
nm0001075,Peter Coyote
nm0001077,Richard Crenna
nm0001078,Bing Crosby
nm0001079,Scatman Crothers
nm0001082,Billy Crudup
nm0001083,Jon Cryer
nm0001084,Ice Cube
nm0001085,Kieran Culkin
nm0001086,Alan Cumming
nm0001087,Lee Curreri
nm0001088,Peter Cushing
nm0001089,Henry Czerny
nm0001092,Mark Dacascos
nm0001096,Timothy Dalton
nm0001097,Charles Dance
nm0001098,Rodney Dangerfield
nm0001099,Jeff Daniels
nm0001101,Ted Danson
nm0001103,Tony Danza
nm0001108,Robert Davi
nm0001109,Jaye Davidson
nm0001111,Jeremy Davies
nm0001113,Brad Davis
nm0001115,Ossie Davis
nm0001116,Warwick Davis
nm0001117,Bruce Davison
nm0001120,Vittorio De Sica
nm0001121,Brandon De Wilde
nm0001123,Dom DeLuise
nm0001125,Benicio Del Toro
nm0001128,Alain Delon
nm0001131,Patrick Dempsey
nm0001133,Brian Dennehy
nm0001135,John Derek
nm0001136,Bruce Dern
nm0001137,William Devane
nm0001139,Tom DiCillo
nm0001143,Kevin Dillon
nm0001145,Divine
nm0001150,James Doohan
nm0001151,Stephen Dorff
nm0001154,Michael Dudikoff
nm0001158,Keir Dullea
nm0001160,Adrian Dunbar
nm0001162,Griffin Dunne
nm0001163,Roy Dupuis
nm0001164,Charles Durning
nm0001165,Charles S. Dutton
nm0001166,James Duval
nm0001168,Bob Dylan
nm0001169,George Dzundza
nm0001171,Buddy Ebsen
nm0001172,Christopher Eccleston
nm0001173,Aaron Eckhart
nm0001177,Chris Eigeman
nm0001181,Jack Elam
nm0001183,Bodhi Elfman
nm0001185,Hector Elizondo
nm0001186,Denholm Elliott
nm0001187,Noah Emmerich
nm0001190,David Prowse
nm0001191,Adam Sandler
nm0001194,Jeff Fahey
nm0001195,Douglas Fairbanks Jr.
nm0001199,Dennis Farina
nm0001200,Gary Farmer
nm0001204,Marty Feldman
nm0001205,Norman Fell
nm0001206,Abel Ferrara
nm0001207,José Ferrer
nm0001208,Miguel Ferrer
nm0001209,William Fichtner
nm0001212,Joseph Fiennes
nm0001213,Harvey Fierstein
nm0001215,Albert Finney
nm0001218,Sean Patrick Flanery
nm0001224,Errol Flynn
nm0001228,Peter Fonda
nm0001229,Glenn Ford
nm0001232,Milos Forman
nm0001233,Robert Forster
nm0001234,John Forsythe
nm0001235,William Forsythe
nm0001240,Dennis Franz
nm0001242,Matt Frewer
nm0001246,Dan Futterman
nm0001251,Peter Gallagher
nm0001252,Vincent Gallo
nm0001253,Mason Gamble
nm0001254,James Gandolfini
nm0001255,Victor Garber
nm0001258,James Garner
nm0001260,John Gavin
nm0001262,Ben Gazzara
nm0001263,Jason Gedrick
nm0001267,Balthazar Getty
nm0001274,Paul Michael Glaser
