tconst,nconst,character
tt0019421,nm0868458,William 'Steamboat Bill' Canfield
tt0019421,nm0507827,Tom Carter - First and Last Mate
tt0019421,nm0533006,Minister
tt0019421,nm0922068,Barber
tt0019702,nm0519274,Detective Frank Webber
tt0019702,nm0665715,Mr. White
tt0019702,nm0130740,Tracy
tt0019702,nm0728509,The Artist
tt0019702,nm0102607,The Chief Inspector (sound version)
tt0019702,nm0084051,The Detective Sergeant
tt0019702,nm1256418,Boy
tt0019760,nm0442227,The Cameraman
tt0020629,nm0000817,Paul
tt0020629,nm0938464,Kat
tt0020629,nm0942046,Himmelstoss
tt0020629,nm0524803,Kantorek
tt0020629,nm0018273,Kemmerich
tt0020629,nm0464131,Leer
tt0020629,nm0204113,Peter
tt0020629,nm0737253,Behn
tt0020629,nm0049055,Albert
tt0020629,nm0322345,Mueller
tt0020640,nm0000050,Captain Geoffrey T. Spaulding
tt0020640,nm0555617,The Professor
tt0020640,nm0555597,Signor Emanuel Ravelli
tt0020640,nm2580347,\N
tt0020640,nm0555688,Horatio Jamison
tt0020640,nm0815049,Roscoe W. Chandler
tt0020640,nm0860191,John Parker
tt0020697,nm0417837,Professor Immanuel Rath
tt0020697,nm0314777,"Kiepert, Zauberkünstler"
tt0020697,nm0002161,Mazeppa
tt0020697,nm0077175,Der Clown
tt0020697,nm0903235,Der Schuldirektor
tt0020697,nm0744858,Der Pedell
tt0020697,nm0618296,Angst
tt0020697,nm0890131,Lohmann
tt0021079,nm0000064,Caesar Enrico 'Rico' Bandello
tt0021079,nm0000064,'Little Caesar'
tt0021079,nm0001195,Joe Massara
tt0021079,nm0171873,Tony Passa
tt0021079,nm0085782,Big Boy
tt0021079,nm0408433,Pete Montana
tt0021079,nm0414090,Sgt. Flaherty
tt0021079,nm0276354,Sam Vettori
tt0021079,nm0085427,Little Arnie Lorch
tt0021079,nm0831889,Otero
tt0021577,nm0595321,The Man
tt0021577,nm0259722,Bandit Leader in the Hut
tt0021577,nm0037886,Governor
tt0021577,nm0758004,Duke of Blangis
tt0021577,nm0239785,Orchestra Conductor
tt0021577,nm0406390,Marquis of X
tt0021577,nm0042179,Bandit
tt0021749,nm0000122,A Tramp
tt0021749,nm0616729,An Eccentric Millionaire
tt0021749,nm0305087,The Millionaire's Butler
tt0021749,nm0003424,A Prizefighter
tt0021749,nm0008609,Newsboy
tt0021749,nm1033905,Boxing Match Spectator
tt0021749,nm1035024,Doctor
tt0021749,nm1033907,Superstitious Boxer
tt0021814,nm0000509,Count Dracula
tt0021814,nm0543115,John Harker
tt0021814,nm0296859,Renfield
tt0021814,nm0888000,Van Helsing
tt0021814,nm0120557,Doctor Seward
tt0021814,nm0314699,Martin
tt0021884,nm0166972,Henry Frankenstein
tt0021884,nm0000472,The Monster
tt0021884,nm0092900,Victor Moritz
tt0021884,nm0888000,Doctor Waldman
tt0021884,nm0449694,Baron Frankenstein
tt0021884,nm0296859,Fritz
tt0021884,nm0069373,The Burgomaster
tt0021884,nm0082501,Villager
tt0022100,nm0000048,Hans Beckert
tt0022100,nm0921532,Inspector Karl Lohmann
tt0022100,nm0519765,Inspector Groeber
tt0022100,nm0345073,Schränker
tt0022100,nm0323479,Franz
tt0022100,nm0643997,The Cheater
tt0022100,nm0447349,Pickpocket with Six Watches
tt0022100,nm0003586,Bauernfänger
tt0022158,nm0000050,Groucho
tt0022158,nm0555617,Harpo
tt0022158,nm2580347,The Four Stowaways
tt0022158,nm0555597,Chico
tt0022158,nm0555688,Zeppo
tt0022158,nm0271503,Joe Helton
tt0022158,nm0940617,Briggs
tt0022158,nm0448366,Gibson
tt0022286,nm0000010,Tom Powers
tt0022286,nm0940589,Matt Doyle
tt0022286,nm0007219,Mike Powers
tt0022286,nm0272059,Samuel 'Nails' Nathan
tt0022286,nm0640495,Paddy Ryan
tt0022286,nm0455706,Putty Nose
tt0022286,nm7369756,Goon
tt0022835,nm0545298,Dr. Henry Jekyll
tt0022835,nm0545298,Mr. Hyde
tt0022835,nm0378555,Dr. Lanyon
tt0022835,nm0387561,Brigadier-General Carew
tt0022835,nm0636199,Poole
tt0022835,nm0010468,Ivy's Admirer at Music Hall
tt0022835,nm0011009,Pub Patron
tt0022835,nm0066724,Party Guest
tt0022913,nm0285922,Phroso
tt0022913,nm0040374,Roscoe
tt0022913,nm0896109,Hercules
tt0022913,nm0247361,Hans
tt0022958,nm0000858,Baron Felix von Geigern
tt0022958,nm0000891,General Director Preysing
tt0022958,nm0000859,Otto Kringelein
tt0022958,nm0832011,Doctor Otternschlag
tt0022958,nm0380965,Senf
tt0022958,nm0574743,Meierheim
tt0022958,nm0695525,Zinnowitz
tt0022958,nm0332036,Pimenov
tt0023027,nm0000050,Professor Quincy Adams Wagstaff
tt0023027,nm0555597,Baravelli
tt0023027,nm0555617,Pinky
tt0023027,nm2580347,\N
tt0023027,nm0555688,Frank Wagstaff
tt0023027,nm0484439,Jennings
tt0023027,nm0053354,Speakeasy Patron
tt0023027,nm0055275,Retiring College President
tt0023027,nm0055998,Speakeasy Patron
tt0023042,nm0612847,James Allen
tt0023042,nm0288003,Pete
tt0023042,nm0420765,Barney Sykes
tt0023042,nm0161414,The Judge
tt0023042,nm0254818,Bomber Wells
tt0023042,nm0484439,The Warden
tt0023042,nm0357894,Rev. Robert Allen
tt0023238,nm0566948,Bob
tt0023238,nm0052203,Count Zaroff
tt0023238,nm0035877,Martin
tt0023238,nm0425903,Ivan
tt0023238,nm0166170,Tartar
tt0023238,nm0203527,Captain
tt0023238,nm0376681,Tartar Servant
tt0023238,nm0281329,First Mate on Yacht
tt0023238,nm0336455,Passenger on Yacht
tt0023245,nm0000472,Imhotep
tt0023245,nm0543115,Frank Whemple
tt0023245,nm0126365,Sir Joseph Whemple
tt0023245,nm0888000,Doctor Muller
tt0023245,nm0281955,Ralph Norton
tt0023245,nm0425903,The Nubian
tt0023245,nm0610950,Professor Pearson
tt0023245,nm0186362,The Pharoh
tt0023293,nm0000472,Morgan
tt0023293,nm0002048,Penderel
tt0023293,nm0001452,Sir William Porterhouse
tt0023293,nm0857658,Horace Femm
tt0023293,nm0557339,Philip Waverton
tt0023293,nm0932622,Saul Femm
tt0023427,nm0612847,Tony
tt0023427,nm0674019,Lovo
tt0023427,nm0330059,Guarino
tt0023427,nm0706368,Rinaldo
tt0023427,nm0055998,Angelo
tt0023427,nm0000472,Gaffney
tt0023427,nm0695525,Publisher
tt0023427,nm0551222,Managing Editor
tt0023563,nm0459030,Dr. Mabuse
tt0023563,nm0921532,Inspector Karl Lohmann
tt0023563,nm0099786,Professeur Baum
tt0023563,nm0226158,Thomas Kent
tt0023563,nm0771869,Hardy
tt0023563,nm0313899,Commissaire Lohmann
tt0023563,nm0405802,Bredow
tt0023563,nm0003586,Karetzky
tt0023563,nm0537629,Thomas Kent
tt0023622,nm0003339,Gaston Monescu
tt0023622,nm0749476,The Major
tt0023622,nm0002143,François Filiba
tt0023622,nm0807580,Adolph J. Giron
tt0023622,nm0340063,Jacques (the Butler)
tt0023622,nm0016422,Annoyed Opera Fan
tt0023622,nm0040341,Insurance Agent
tt0023622,nm0111751,Commercial Singer
tt0023649,nm0922170,Allan Grey
tt0023649,nm0776914,Der Schlossherr (The Lord of the Manor)
tt0023649,nm0383188,Der Dorfarzt (The Village Doctor)
tt0023649,nm0105331,Der alte Diener (The Old Servant)
tt0023649,nm3638210,Limping Man
tt0023694,nm0000509,'Murder' Legendre
tt0023694,nm0147248,Dr. Bruner
tt0023694,nm0292537,Charles Beaumont
tt0023694,nm0366002,Neil Parker
tt0023694,nm0403582,Silver
tt0023694,nm0531232,Von Gelder - Zombie
tt0023694,nm0676435,Chauvin - Zombie
tt0023694,nm0697674,Ledot - Zombie
tt0023969,nm0000050,Rufus T. Firefly
tt0023969,nm0555617,Pinky
tt0023969,nm0555597,Chicolini
tt0023969,nm0555688,Bob Roland
tt0023969,nm2580347,\N
tt0023969,nm0129894,Ambassador Trentino
tt0023969,nm0106785,Zander
tt0023969,nm0455893,Sylvanian Agitator
tt0024034,nm0062828,Julian Marsh
tt0024034,nm0107575,Pat Denning
tt0024034,nm0452128,Abner Dillon
tt0024034,nm0817021,Thomas Barry
tt0024034,nm0694090,Billy Lawler
tt0024034,nm0420765,Mac Elroy
tt0024184,nm0001647,Dr. Jack Griffin aka The Invisible Man
tt0024184,nm0364203,Dr. Arthur Kemp
tt0024184,nm0871287,Dr. Cranley
tt0024184,nm0367516,Herbert Hall
tt0024184,nm0378555,Chief of Police
tt0024184,nm0166974,Constable Jaffers
tt0024184,nm0226502,Chief Detective
tt0024184,nm0835913,Inspector Bird
tt0024188,nm0001452,Dr. Moreau
tt0024188,nm0000509,Sayer of the Law
tt0024188,nm0035159,Edward Parker
tt0024188,nm0389824,Montgomery
tt0024188,nm0276354,Captain Davies
tt0024188,nm0403636,Donahue
tt0024188,nm0826124,Ouran
tt0024188,nm0464514,M'ling
tt0024216,nm0035877,Carl Denham
tt0024216,nm0127677,Jack Driscoll
tt0024216,nm0717046,Capt. Englehorn
tt0024216,nm0362742,Charles Weston
tt0024216,nm0425903,Native Chief
tt0024216,nm0166170,Witch King
tt0024216,nm0281329,Second Mate Briggs
tt0024216,nm0010017,Reporter
tt0024216,nm0011490,Native Child
tt0024844,nm0202120,Jean
tt0024844,nm0546621,Le camelot (peddler)
tt0024844,nm0498882,Le gosse (cabin boy)
tt0024844,nm0318888,Le chef de bureau (office manager)
tt0024844,nm0226769,Le trimardeur (tramp
tt0024844,nm0226769,Raspoutine)
tt0024844,nm0800302,Le père Jules (old Jules)
tt0024844,nm0042872,\N
tt0024844,nm0088085,Best Man at Wedding
tt0024844,nm0094672,Passenger at Railway Station
tt0024894,nm0000472,Hjalmar Poelzig
tt0024894,nm0000509,Dr. Vitus Werdegast
tt0024894,nm0543115,Peter Alison
tt0024894,nm0106504,The Majordomo
tt0024894,nm0179591,Thamal
tt0024894,nm0035455,The Sergeant
tt0024894,nm0176302,The Lieutenant
tt0025316,nm0000022,Peter Warne
tt0025316,nm0175369,Alexander Andrews
tt0025316,nm0439850,Oscar Shapeley
tt0025316,nm0858977,King Westley
tt0025316,nm0002118,Danker
tt0025316,nm0398446,Zeke
tt0025316,nm0933161,Joe Gordon
tt0025316,nm0010958,The Bag Thief
tt0025452,nm0052203,Bob Lawrence
tt0025452,nm0000048,Abbott
tt0025452,nm0903687,Ramon Levine
tt0025452,nm0906775,Clive
tt0025452,nm0294382,Louis Bernard
