nconst,primaryName
nm0000829,Stuart Baird
nm0000835,Ralph Bakshi
nm0000850,Clive Barker
nm0000853,Bruno Barreto
nm0000860,Paul Bartel
nm0000867,Jason Bateman
nm0000876,Noah Baumbach
nm0000877,Lamberto Bava
nm0000878,Mario Bava
nm0000881,Michael Bay
nm0000886,Warren Beatty
nm0000887,Harold Becker
nm0000894,Jean-Jacques Beineix
nm0000905,Roberto Benigni
nm0000907,Richard Benjamin
nm0000914,Robert Benton
nm0000915,Bruce Beresford
nm0000916,Peter Berg
nm0000921,Andrew Bergman
nm0000934,Bernardo Bertolucci
nm0000940,Bigas Luna
nm0000941,Kathryn Bigelow
nm0000944,Antonia Bird
nm0000948,Shane Black
nm0000952,Hart Bochner
nm0000953,Peter Bogdanovich
nm0000957,Jan de Bont
nm0000958,John Boorman
nm0000965,Danny Boyle
nm0000972,Tinto Brass
nm0000975,Robert Bresson
nm0000976,Martin Brest
nm0000983,Albert Brooks
nm0000985,James L. Brooks
nm0001005,Jane Campion
nm0001008,Frank Capra
nm0001023,John Cassavetes
nm0001024,Nick Cassavetes
nm0001031,Claude Chabrol
nm0001040,Joan Chen
nm0001045,Tommy Chong
nm0001047,Michael Cimino
nm0001053,Ethan Coen
nm0001054,Joel Coen
nm0001060,Chris Columbus
nm0001068,Sofia Coppola
nm0001073,Courteney Cox
nm0001081,Cameron Crowe
nm0001086,Alan Cumming
nm0001093,John Dahl
nm0001097,Charles Dance
nm0001102,Joe Dante
nm0001104,Frank Darabont
nm0001112,Andrew Davis
nm0001120,Vittorio De Sica
nm0001124,Cecil B. DeMille
nm0001129,Jonathan Demme
nm0001130,Ted Demme
nm0001139,Tom DiCillo
nm0001149,Richard Donner
nm0001162,Griffin Dunne
nm0001175,Blake Edwards
nm0001178,Sergei Eisenstein
nm0001188,Nora Ephron
nm0001202,Rainer Werner Fassbinder
nm0001206,Abel Ferrara
nm0001214,Mike Figgis
nm0001219,Gary Fleder
nm0001226,James Foley
nm0001232,Milos Forman
nm0001239,John Frankenheimer
nm0001241,Stephen Frears
nm0001243,William Friedkin
nm0001252,Vincent Gallo
nm0001270,Brian Gibson
nm0001274,Paul Michael Glaser
nm0001281,Bobcat Goldthwait
nm0001282,Tony Goldwyn
nm0001302,Christopher Guest
nm0001317,Renny Harlin
nm0001325,Hal Hartley
nm0001328,Howard Hawks
nm0001331,Todd Haynes
nm0001338,Brian Helgeland
nm0001345,Jim Henson
nm0001348,Werner Herzog
nm0001351,George Roy Hill
nm0001353,Walter Hill
nm0001355,Michael Hoffman
nm0001361,Tobe Hooper
nm0001366,Leslie Howard
nm0001372,Bonnie Hunt
nm0001379,John Huston
nm0001382,Peter Hyams
nm0001392,Peter Jackson
nm0001401,Angelina Jolie
nm0001402,Terry Jones
nm0001403,Neil Jordan
nm0001405,Janusz Kaminski
nm0001408,Shekhar Kapur
nm0001410,Lawrence Kasdan
nm0001415,Elia Kazan
nm0001425,Krzysztof Kieslowski
nm0001429,Takeshi Kitano
nm0001437,Emir Kusturica
nm0001438,Neil LaBute
nm0001452,Charles Laughton
nm0001460,Mimi Leder
nm0001466,Sergio Leone
nm0001469,Barry Levinson
nm0001471,Jerry Lewis
nm0001486,Sidney Lumet
nm0001490,Adrian Lyne
nm0001501,Louis Malle
nm0001502,Luis Mandoki
nm0001508,Penny Marshall
nm0001528,Don McKellar
nm0001532,John McTiernan
nm0001548,Rick Moranis
nm0001554,Errol Morris
nm0001565,Mike Newell
nm0001566,Mike Nichols
nm0001570,Edward Norton
nm0001579,Edward James Olmos
nm0001587,Alan J. Pakula
nm0001590,Chazz Palminteri
nm0001591,Bruce Paltrow
nm0001596,Pier Paolo Pasolini
nm0001603,Sam Peckinpah
nm0001627,Sidney Poitier
nm0001628,Sydney Pollack
nm0001629,Kevin Pollak
nm0001631,Sarah Polley
nm0001639,Alex Proyas
nm0001659,Christopher Reeve
nm0001661,Rob Reiner
nm0001674,Chris Rock
nm0001675,Robert Rodriguez
nm0001676,Nicolas Roeg
nm0001681,George A. Romero
nm0001692,Ken Russell
nm0001700,Nancy Savoca
nm0001705,Rob Schneider
nm0001707,Paul Schrader
nm0001708,Joel Schumacher
nm0001709,Til Schweiger
nm0001710,David Schwimmer
nm0001714,Campbell Scott
nm0001716,Tony Scott
nm0001723,Tom Shadyac
nm0001741,Bryan Singer
nm0001747,Charles Martin Smith
nm0001752,Steven Soderbergh
nm0001754,Todd Solondz
nm0001756,Barry Sonnenfeld
nm0001770,Fisher Stevens
nm0001774,Ben Stiller
nm0001775,Whit Stillman
nm0001779,Tom Stoppard
nm0001789,Andrei Tarkovsky
nm0001801,Robert Towne
nm0001804,Stanley Tucci
nm0001806,John Turturro
nm0001814,Gus Van Sant
nm0001837,Peter Weir
nm0001843,James Whale
nm0001845,Forest Whitaker
nm0001857,Henry Winkler
nm0001873,Steven Zaillian
nm0001874,Franco Zeffirelli
nm0001878,David Zucker
nm0001880,Edward Zwick
nm0001885,Lars von Trier
nm0001887,Paul Brickman
nm0001915,Emile Ardolino
nm0001928,Roy Ward Baker
nm0001942,Luca Bercovici
nm0001945,Claude Berri
nm0001988,Marc Caro
nm0001994,Michael Caton-Jones
nm0002020,Costa-Gavras
nm0002030,George Cukor
nm0002031,Michael Curtiz
nm0002041,Dean Devlin
nm0002044,Roger Donaldson
nm0002045,Stanley Donen
nm0002077,Dexter Fletcher
nm0002080,Bob Fosse
nm0002083,Carl Franklin
nm0002086,Lucio Fulci
nm0002087,Samuel Fuller
nm0002089,Sidney J. Furie
nm0002120,Lasse Hallström
nm0002132,Amy Heckerling
nm0002137,Arthur Hiller
nm0002140,Agnieszka Holland
nm0002159,Alejandro Agresti
nm0002160,Moustapha Akkad
nm0002172,Mukul Anand
nm0002175,Ken Annakin
nm0002184,Vic Armstrong
nm0002190,Anthony Asquith
nm0002191,Jacques Audiard
nm0002196,Gabriel Axel
nm0002199,Hector Babenco
nm0002207,Richard Franklin
nm0002233,Erich von Stroheim
nm0002240,Katt Shea
nm0002253,John Carroll Lynch
nm0002337,Roger Christian
nm0002338,Jack Clayton
nm0002339,Allen Coulter
nm0002340,Stuart Gordon
nm0002545,Preston Sturges
nm0002645,Paolo Genovese
nm0002653,Joe Johnston
nm0002657,Gary Ross
nm0002700,Malcolm D. Lee
nm0002718,Brian Koppelman
nm0002728,Juan José Campanella
nm0002814,Christopher Leone
nm0002835,Adam Bernstein
nm0002887,Alan Myerson
nm0002892,Wally Pfister
nm0002973,Lev L. Spiro
nm0003021,Chris McKay
nm0003031,Caroline Thompson
nm0003080,Rachel Talalay
nm0003088,Chris Noonan
nm0003150,Michael Katleman
nm0003152,Sean McGinly
nm0003160,Christopher McQuarrie
nm0003226,Kenji Mizoguchi
nm0003343,Rob Schmidt
nm0003355,Christopher Monger
nm0003394,Lawrence Sher
nm0003408,Chris Marker
nm0003418,Rob Cohen
nm0003423,Peter MacDonald
nm0003433,Carl Theodor Dreyer
nm0003458,Steven R. Monroe
nm0003474,Troy Miller
nm0003482,Nash Edgerton
nm0003490,Ludwig Berger
nm0003506,James Mangold
nm0003529,Dan Harris
nm0003557,Richard J. Lewis
nm0003593,Fred Zinnemann
nm0003620,Kevin Smith
nm0003638,F.W. Murnau
nm0003697,Florian Henckel von Donnersmarck
nm0003733,Daniel Attias
nm0003836,Michael Powell
nm0003922,Michael Goi
nm0003939,Vikramaditya Motwane
nm0003941,David Winning
nm0003977,Gary Rydstrom
nm0004056,Andrew Stanton
nm0004105,Jay Sandrich
nm0004121,Mikael Salomon
nm0004152,Roel Reiné
nm0004217,André Øvredal
nm0004234,Alfonso Gomez-Rejon
nm0004244,Jacques Tati
nm0004303,Gavin Hood
nm0004305,George Miller
nm0004306,George Miller
nm0004332,Robert B. Weide
nm0004363,Rakesh Roshan
nm0004372,Gary Graver
nm0004410,Mark Neveldine
nm0004555,Walter Murch
nm0004654,Nicolas Gessner
nm0004675,Phil Alden Robinson
nm0004689,Frédéric Forestier
nm0004693,Lou Adler
nm0004716,Darren Aronofsky
nm0004752,Troy Byer
nm0004810,Chris Carter
nm0004838,Martha Coolidge
nm0004886,Bill Duke
nm0005008,Brian Henson
nm0005022,Peter Horton
nm0005033,Sammo Kam-Bo Hung
nm0005062,Chuck Jones
nm0005069,Spike Jonze
nm0005076,Jeffrey Katzenberg
nm0005077,James Keach
nm0005101,Harmony Korine
nm0005116,Mary Lambert
nm0005124,John Lasseter
nm0005139,Mike Leigh
nm0005190,Garry Marshall
nm0005196,Paul Mazursky
nm0005197,Des McAnuff
nm0005222,Sam Mendes
nm0005237,Anthony Minghella
nm0005295,Trey Parker
nm0005303,Kimberly Peirce
nm0005348,Carl Reiner
nm0005363,Guy Ritchie
nm0005366,Jay Roach
nm0005367,Brian Robbins
nm0005387,Joe Roth
nm0005390,Patricia Rozema
nm0005421,Ron Shelton
nm0005436,John Singleton
nm0005509,Jon Turteltaub
nm0005522,Mario Van Peebles
nm0005540,Keenen Ivory Wayans
nm0005563,Irwin Winkler
nm0005572,Lili Fini Zanuck
nm0005618,Alex Zamm
nm0005628,Oliver Schmitz
nm0005645,Enzo Barboni
nm0005647,Andrzej Bartkowiak
nm0005711,Freddie Francis
nm0005713,Karl Freund
nm0005738,Byron Haskin
nm0005759,Lajos Koltai
nm0005767,Edward Lachman
nm0005789,Rudolph Maté
nm0005871,Dean Semler
nm0005917,Joseph Vilsmaier
nm0006249,Satyajit Ray
nm0006371,Mehboob Khan
nm0006388,David O. Selznick
nm0006445,Éric Rohmer
nm0006452,Stanley Kramer
nm0006476,Paul McGuigan
nm0006487,Jim Sheridan
nm0006498,Majid Majidi
nm0006554,Rodrigo García
nm0006625,Steve Barron
nm0006703,Zeki Ökten
nm0006841,Udayan Prasad
nm0006845,Sally Potter
nm0006846,Ric Roman Waugh
nm0006853,Tim Hunter
nm0006854,Roger Spottiswoode
nm0006889,Herbert Ross
nm0006904,Tony Gilroy
nm0006916,Michael Ritchie
nm0006939,Richard Berry
nm0006960,John Madden
nm0006969,Elizabeth Banks
nm0007045,Scott Wiper
nm0007082,John Stockwell
nm0007128,Louis Morneau
nm0007131,Subhash Ghai
nm0007134,Farah Khan
nm0007139,Hark Tsui
nm0007144,Santosh Sivan
nm0007158,Niels Mueller
nm0007181,Yash Chopra
nm0007182,Alex Cox
nm0007193,Richie Keen
nm0007439,Douglas Aarniokoski
nm0007672,Eduard Abalov
nm0007708,Paul Abascal
nm0007989,Jennifer Abbott
nm0008953,Marc Abraham
nm0009159,Anthony Abrams
nm0009190,J.J. Abrams
nm0009463,Hany Abu-Assad
nm0009788,Mark Achbar
nm0009942,Shane Acker
nm0010012,Robert Allan Ackerman
nm0011470,Andrew Adamson
nm0011752,Maren Ade
nm0012155,Gilbert Adler
nm0012541,Nikkhil Advani
nm0014960,Alexandre Aja
nm0015091,Serdar Akar
nm0015121,Ezel Akay
nm0015295,Zoya Akhtar
nm0015328,Salim Akil
nm0015359,Fatih Akin
nm0015570,Orhan Aksoy
nm0018132,Lisa Azuelos
nm0018133,Patrick Alessandrin
nm0018735,Scott Alexander
nm0019242,Daniel Alfredson
nm0019247,Tomas Alfredson
nm0019282,James Algar
nm0019341,Daniel Algrant
nm0020491,Elizabeth Allen Rosenbaum
nm0020728,Kevin Allen
nm0020765,Lewis Allen
nm0020980,Robert Allen
nm0021249,Roger Allers
nm0021899,Michael Almereyda
nm0022768,Kent Alterman
nm0022828,Kevin Altieri
nm0022858,Mustafa Altioklar
nm0023355,Christian Alvart
nm0023469,Joe Alves
nm0023517,Ruben Alves
nm0024622,Alejandro Amenábar
nm0024912,Shimit Amin
nm0024925,Hossein Amini
nm0025534,Jean-Pierre Améris
nm0025978,Allison Anders
nm0026174,John Andreas Andersen
nm0026442,Brad Anderson
nm0027183,Michael Anderson
nm0027271,Paul W.S. Anderson
nm0027459,Stephen J. Anderson
nm0027465,Stephen Milburn Anderson
nm0027572,Wes Anderson
nm0027815,Roy Andersson
nm0028764,Mark Andrews
nm0028968,Radivoje Andric
nm0030253,Graham Annable
nm0030417,Hideaki Anno
nm0030735,Nimród Antal
nm0031078,Steve Antin
nm0031342,Predrag Antonijevic
nm0031976,Judd Apatow
nm0032925,Shinji Aramaki
nm0034712,Michael Arias
nm0035106,Allan Arkush
nm0035462,Neil Armfield
nm0035899,Samuel Armstrong
nm0036349,Andrea Arnold
nm0036582,Newt Arnold
nm0036802,William Arntz
nm0037136,Guel Arraes
nm0037247,Guillermo Arriaga
nm0037708,Miguel Arteta
nm0037867,Yann Arthus-Bertrand
nm0038432,Kelly Asbury
nm0038896,Rodney Ascher
nm0038953,Toyoo Ashida
nm0039192,Bethany Ashton Wolf
nm0039468,Peter Askin
nm0040328,Doug Atchison
nm0040404,Dino Athanassiou
nm0040575,David Atkins
nm0040939,Yvan Attal
nm0041161,Philip G. Atwell
nm0041334,Stéphane Aubier
nm0041474,Frédéric Auburtin
nm0041864,John August
nm0041932,Mark Rydell
nm0042006,Scott Aukerman
nm0042768,Alexandre Avancini
nm0043742,David Ayer
nm0044803,Jamie Babbit
nm0045800,Lloyd Bacon
nm0046943,Fax Bahr
nm0047076,Steven Baigelman
nm0047259,Fenton Bailey
nm0048491,Graham Baker
nm0048918,Sean Baker
nm0049326,Aleksey Balabanov
nm0049371,Jaume Balagueró
nm0049633,Kyle Balda
nm0050332,Alan Ball
nm0050597,Carroll Ballard
nm0051157,Randall Balsmeyer
nm0051166,Ali Taner Baltaci
nm0051206,Nic Balthazar
nm0051643,Tony Bancroft
nm0053190,Randy Barbato
nm0053228,Ernie Barbarash
nm0053484,Joseph Barbera
nm0054077,Paris Barclay
nm0054504,Kasper Barfoed
nm0054744,Sooraj R. Barjatya
nm0054954,Mike Barker
nm0056423,Chandra Barot
nm0056725,Christophe Barratier
nm0057106,David Barrett
nm0057592,Seth Barrish
nm0058045,John Barry
nm0059106,Charles Barton
nm0059431,Jay Baruchel
nm0060072,Jules Bass
nm0060742,Joy Batchelor
nm0062614,Harry Baweja
nm0062644,Craig R. Baxley
nm0063357,Anees Bazmee
nm0063769,Charlie Bean
nm0063785,Henry Bean
nm0064181,Stuart Beattie
nm0064741,Xavier Beauvois
nm0065284,Steve Beck
nm0065442,Jacques Becker
nm0065608,Walt Becker
nm0065615,Wolfgang Becker
nm0066439,Greg Beeman
nm0066534,Dan Beers
nm0067457,Timur Bekmambetov
nm0067619,Stephen Belber
nm0068034,Anthony Bell
nm0068106,Chris Bell
nm0068587,William Brent Bell
nm0069715,Rémy Belvaux
nm0070159,Jafar Panahi
nm0070436,Steve Bendelack
nm0070474,Jack Bender
nm0070566,Jessica Bendinger
nm0070594,Malik Bendjelloul
nm0070670,Laslo Benedek
nm0072600,Ned Benson
nm0073322,Alain Berbérian
nm0073384,Emmanuelle Bercot
nm0073688,Alec Berg
nm0074311,Pablo Berger
nm0074426,Bibo Bergeron
nm0075010,Stig Bergqvist
nm0075528,Greg Berlanti
nm0075626,Alain Berliner
nm0075666,Joe Berlinger
nm0075696,Andrea Berloff
nm0075849,Shari Springer Berman
nm0075859,Ted Berman
nm0075864,Zev Berman
nm0077002,Assaf Bernstein
nm0079111,Jeff Betancourt
nm0079374,Angela Bettis
nm0080120,Thomas Bezucha
nm0080220,Sanjay Leela Bhansali
nm0080235,Vishal Bhardwaj
nm0080333,Vikram Bhatt
nm0081433,Fabián Bielinsky
nm0081449,Dragan Bjelogrlic
nm0081540,Susanne Bier
nm0081590,Robert Bierman
nm0082094,Enki Bilal
nm0082300,Tony Bill
nm0082366,Anna Biller
nm0082450,Paul Feig
nm0082526,Peter Billingsley
nm0082802,Mike Binder
nm0082835,S.R. Bindler
nm0082841,William Bindley
nm0083279,Patricia Birch
nm0083348,Brad Bird
nm0084059,Gregg Bishop
nm0084114,Larry Bishop
nm0085438,Michael Ian Black
nm0085627,Olly Blackburn
nm0086301,Macon Blair
nm0086431,Aaron Blaise
nm0086690,Perry Andelin Blake
nm0087595,Jamie Blanks
nm0087709,Jim Blashfield
nm0087861,William Peter Blatty
nm0087904,Barry W. Blaustein
nm0088392,Michael Blieden
nm0088397,Bertrand Blier
nm0088955,Neill Blomkamp
nm0089176,Jason Bloom
nm0089177,Jeffrey Bloom
nm0089502,Albert Pyun
nm0089742,Stuart Blumberg
nm0089940,Don Bluth
nm0090007,John G. Blystone
nm0090066,Reggie Rock Bythewood
nm0090386,James Bobin
nm0091076,Sergei Bodrov
nm0091840,Steven Bognar
nm0092959,Paul Bolger
nm0093051,Uwe Boll
nm0093081,Icíar Bollaín
nm0093934,Fredrik Bond
nm0094080,Fedor Bondarchuk
nm0094083,Sergey Bondarchuk
nm0094288,Peter Bonerz
nm0094435,Bong Joon Ho
nm0095298,André Bonzel
nm0095321,Robert Boocheck
nm0096375,Sebastián Borensztein
nm0097079,Ole Bornedal
nm0097517,Derrick Borte
nm0097785,Rose Bosch
nm0098953,Rachid Bouchareb
nm0099552,Tassos Boulmetis
nm0101047,David Bowers
nm0101385,Rob Bowman
nm0101508,Steve Box
nm0103187,Dan Bradley
nm0103595,Colin Brady
nm0103744,Tom Brady
nm0103785,Zach Braff
nm0104193,Marco Brambilla
nm0104973,Michael Brandt
nm0105169,Ash Brannon
nm0106230,Kevin Bray
nm0106456,Paddy Breathnach
nm0106924,Catherine Breillat
nm0106928,Valerie Breiman
nm0107366,Neal Brennan
nm0107774,Eric Bress
nm0108094,Eric Brevig
nm0108132,Craig Brewer
nm0108745,James Bridges
nm0109165,Matthew Bright
nm0109359,Steven Brill
nm0109578,Chris Brinker
nm0110293,Gaëtan Brizzi
nm0110294,Paul Brizzi
nm0110591,Jeremy Brock
nm0110791,Adam Larson Broder
nm0111303,Henry Bromell
nm0111656,Peter Brook
nm0111845,Adam Brooks
nm0112085,Katherine Brooks
nm0112218,Richard Brooks
nm0112897,Otto Brower
nm0113477,Dylan Brown
nm0114226,Matt Brown
nm0115218,Tod Browning
nm0115669,Clyde Bruckman
nm0115764,Pieter Jan Brugge
nm0116497,John Bruno
nm0118333,Chris Buck
nm0119106,John Carl Buechler
nm0119613,Timothy Linh Bui
nm0121653,David J. Burke
nm0121789,Martyn Burke
nm0122127,Raymond Burlet
nm0122216,Abbas Alibhai Burmawalla
nm0122217,Mastan Alibhai Burmawalla
nm0122335,Allison Burnett
nm0122427,Rob Burnett
nm0122567,Anthony Burns
nm0122653,Edward Burns
nm0123009,Jeff Burr
nm0123379,Nanette Burstein
nm0123666,Mark Burton
nm0124112,Dan Bush
nm0124877,David Butler
nm0125111,Robert Butler
nm0125186,Hendel Butoy
nm0125336,Jez Butterworth
nm0125367,Jörg Buttgereit
nm0125753,Ed Bye
nm0125803,Bobby Farrelly
nm0126096,James Ward Byrkit
nm0127373,Louis C.K.
nm0128050,Michael Cacoyannis
nm0128225,Andy Cadiff
nm0128687,M. Cahill
nm0128883,Christopher Cain
nm0131910,Donald Cammell
nm0131969,Brandon Camp
nm0132120,Stephen S. Campanelli
nm0132257,Bruce Campbell
nm0132709,Martin Campbell
nm0133028,Robin Campillo
nm0133326,Sebastián Lelio
nm0133424,Marcel Camus
nm0133899,Guillaume Canet
nm0134176,Danny Cannon
nm0134224,Kay Cannon
nm0134396,Hans Canosa
nm0134559,Laurent Cantet
nm0134811,Erik Canuel
nm0135141,Frank A. Cappello
nm0135653,Ivo Caprino
nm0135952,Nae Caranfil
nm0136021,Leos Carax
nm0136592,J.S. Cardone
nm0136775,Peter Care
nm0137228,Christian Carion
nm0137363,Carlo Carlei
nm0137573,Lewis John Carlino
nm0138620,Joe Carnahan
nm0138809,John Carney
nm0138893,Marcel Carné
nm0138927,Niki Caro
nm0139111,Glenn Gordon Caron
nm0139461,Stephen Carpenter
nm0139867,Steve Carr
nm0140196,Carlos Carrera
nm0140617,Gareth Carrivick
nm0141033,Willard Carroll
nm0141222,David Carson
nm0141961,Thomas Carter
nm0142286,D.J. Caruso
nm0142587,Steve Carver
nm0143984,Jon Cassar
nm0144758,Enzo G. Castellari
nm0144812,Sergio Castellitto
nm0145309,Nick Castle
nm0145336,William Castle
nm0146341,Peter Cattaneo
nm0146709,Alberto Cavalcanti
nm0146960,Liliana Cavani
nm0146991,Fred Cavayé
nm0148511,Nacho Cerdá
nm0149131,Kamil Cetin
nm0149134,Sinan Çetin
nm0149196,Nuri Bilge Ceylan
nm0149260,Alain Chabat
nm0149446,Gurinder Chadha
nm0149491,Justin Chadwick
nm0149548,Don Chaffey
nm0150707,Gregg Champion
nm0150802,Benny Chan
nm0150897,Fruit Chan
nm0150906,Gordon Chan
nm0151066,Peter Ho-Sun Chan
nm0151125,Teddy Chan
nm0151540,Jay Chandrasekhar
nm0151606,Lon Chaney
nm0152312,Brenda Chapman
nm0152466,Matthew Chapman
nm0152469,Michael Chapman
nm0152640,Joe Chappelle
nm0152741,Joe Charbanic
nm0153078,Larry Charles
nm0153912,Betsy Chasse
nm0154104,Mike Clattenburg
nm0154312,Pascal Chaumeil
nm0154385,Philippe de Chauveron
nm0154716,Stephen Chbosky
nm0154819,Jeremiah S. Chechik
nm0154877,Douglas Cheek
nm0155093,Peter Chelsom
nm0155179,Chi-Hwa Chen
nm0155280,Kaige Chen
nm0155528,Yarrow Cheney
nm0155536,Andy Cheng
nm0155642,Siu-Tung Ching
nm0156047,John R. Cherry III
nm0156927,Chia-Hsiang Wu
nm0157670,Colin Chilvers
nm0158014,Stephen Chiodo
nm0158966,Lisa Cholodenko
nm0158984,Sylvain Chomet
nm0159109,Yoshiaki Kawajiri
nm0159147,Aditya Chopra
nm0159162,Ravi Chopra
nm0159507,Stephen Chow
nm0159725,Benjamin Christensen
nm0159900,Shawn Christensen
nm0160157,Christian E. Christiansen
nm0160602,Mark Christopher
nm0160840,Jon M. Chu
nm0161055,Grigoriy Chukhray
nm0161152,Oxide Chun Pang
nm0161330,Cindy Chupack
nm0161615,Vera Chytilová
nm0161717,Patrice Chéreau
nm0161834,Derek Cianfrance
nm0163229,René Clair
nm0163375,Michael Clancy
nm0163706,Bob Clark
nm0163988,Clark Gregg
nm0164187,Larry Clark
nm0164203,Les Clark
nm0164639,Alan Clarke
nm0164929,Noel Clarke
nm0165412,James Clavell
nm0165616,Phil Claydon
nm0165995,Jericca Cleland
nm0166256,Ron Clements
nm0166438,Laure de Clermont-Tonnerre
nm0167195,Robert Clouse
nm0167241,Henri-Georges Clouzot
nm0167384,Jacques Cluzaud
nm0167496,René Clément
nm0168413,Jean Cocteau
nm0168892,Scott Coffey
nm0169253,Billy Corben
nm0169300,Daniel Cohen
nm0169540,Larry Cohen
nm0169806,Taika Waititi
nm0169874,Alan Cohn
nm0169931,Michael Cohn
nm0170043,Isabel Coixet
nm0170402,Michael Coldewey
nm0170719,Nigel Cole
nm0171253,Warren Coleman
nm0171443,Nesli Çölgeçen
nm0171619,Richard A. Colla
nm0172772,Peter Collinson
nm0172877,Laurie Collyer
nm0172989,Laetitia Colombani
