tconst,titleType,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating,numVotes
tt0164114,movie,1999,Drive Me Crazy,Drive Me Crazy,91,"Comedy,Drama,Romance",5.8,17507
tt1935896,movie,2012,The ABCs of Death,The ABCs of Death,129,"Comedy,Fantasy,Horror",4.7,17505
tt5670152,movie,2018,Traffik,Traffik,96,"Action,Crime,Drama",6.0,17498
tt1654523,movie,2013,Night Train to Lisbon,Night Train to Lisbon,111,"Mystery,Romance,Thriller",6.8,17487
tt0095990,movie,1988,Return of the Living Dead II,Return of the Living Dead: Part II,89,"Comedy,Horror,Sci-Fi",5.8,17478
tt0464913,movie,2006,"OSS 117: Cairo, Nest of Spies","OSS 117: Le Caire, nid d'espions",99,"Action,Adventure,Comedy",7.1,17475
tt1046997,movie,2008,Miracle at St. Anna,Miracle at St. Anna,160,"Action,Drama,War",6.1,17475
tt0796375,movie,2007,You Kill Me,You Kill Me,93,"Comedy,Crime,Romance",6.5,17473
tt0048261,movie,1955,Kiss Me Deadly,Kiss Me Deadly,106,"Crime,Film-Noir,Mystery",7.6,17464
tt0071141,movie,1974,Ali: Fear Eats the Soul,Angst essen Seele auf,92,"Drama,Romance",8.1,17464
tt0087799,movie,1984,Night of the Comet,Night of the Comet,95,"Comedy,Horror,Sci-Fi",6.4,17460
tt0192071,movie,2001,Get Over It,Get Over It,87,"Comedy,Romance",5.7,17455
tt0109439,movie,1994,City Slickers II: The Legend of Curly's Gold,City Slickers II: The Legend of Curly's Gold,116,Comedy,5.5,17448
tt0167427,movie,1999,Superstar,Superstar,81,"Comedy,Romance",5.1,17440
tt0038854,movie,1946,The Postman Always Rings Twice,The Postman Always Rings Twice,113,"Crime,Drama,Film-Noir",7.5,17440
tt0091306,movie,1986,Jumpin' Jack Flash,Jumpin' Jack Flash,105,"Comedy,Romance,Thriller",5.9,17433
tt0158811,movie,1999,Muppets from Space,Muppets from Space,87,"Adventure,Comedy,Family",6.3,17411
tt0280030,movie,2002,Peter Pan 2: Return to Never Land,Return to Never Land,72,"Adventure,Animation,Family",5.8,17404
tt3707106,movie,2015,By the Sea,By the Sea,122,"Drama,Romance",5.3,17402
tt1440732,movie,2012,Bel Ami,Bel Ami,102,"Crime,Drama,History",5.4,17401
tt0086312,movie,1983,Silkwood,Silkwood,131,"Biography,Drama,History",7.2,17396
tt0117128,movie,1996,Mystery Science Theater 3000: The Movie,Mystery Science Theater 3000: The Movie,73,"Comedy,Sci-Fi",7.3,17392
tt0199725,movie,2000,Love & Basketball,Love & Basketball,124,"Drama,Romance,Sport",7.2,17388
tt0111797,movie,1994,Eat Drink Man Woman,Yin shi nan nu,124,"Comedy,Drama,Romance",7.8,17382
tt6865690,movie,2018,The Professor,The Professor,90,"Comedy,Drama",6.7,17381
tt4728338,movie,2015,Ali Baba and the Seven Dwarfs,Ali Baba ve 7 Cüceler,114,"Action,Comedy,Drama",5.8,17380
tt0037674,movie,1945,Children of Paradise,Les enfants du paradis,189,"Drama,Romance",8.4,17372
tt0134067,movie,1998,The Rugrats Movie,The Rugrats Movie,79,"Adventure,Animation,Comedy",5.9,17370
tt1434447,movie,2009,Rocket Singh: Salesman of the Year,Rocket Singh: Salesman of the Year,150,"Comedy,Drama",7.5,17369
tt0077742,movie,1978,Interiors,Interiors,92,Drama,7.4,17367
tt0062138,movie,1967,Point Blank,Point Blank,92,"Crime,Drama,Thriller",7.4,17367
tt0435680,movie,2006,Kidulthood,Kidulthood,89,"Crime,Drama,Romance",6.8,17364
tt2937366,movie,2017,Little Evil,Little Evil,94,"Comedy,Horror",5.7,17364
tt0253779,movie,1976,The Foster Brothers,Süt Kardesler,80,"Comedy,Family,Mystery",8.9,17362
tt2944198,movie,2014,Backcountry,Backcountry,92,"Drama,Horror,Thriller",6.0,17359
tt0102782,movie,1991,Return to the Blue Lagoon,Return to the Blue Lagoon,102,"Adventure,Drama,Romance",5.2,17355
tt0113305,movie,1995,Higher Learning,Higher Learning,127,"Crime,Drama,Romance",6.5,17348
tt0315824,movie,2004,The Big Bounce,The Big Bounce,88,"Comedy,Crime",4.9,17334
tt0095519,movie,1988,License to Drive,License to Drive,88,Comedy,6.3,17333
tt2390237,movie,2014,Cuban Fury,Cuban Fury,98,"Comedy,Romance,Sport",6.2,17326
tt1656192,movie,2011,Special Forces,Forces spéciales,109,"Action,Drama,War",6.3,17324
tt0824758,movie,2009,The Last Station,The Last Station,112,"Biography,Drama,Romance",7.0,17321
tt4291600,movie,2016,Lady Macbeth,Lady Macbeth,89,"Drama,Romance",6.8,17311
tt0050086,movie,1957,3:10 to Yuma,3:10 to Yuma,92,"Drama,Thriller,Western",7.6,17302
tt0076451,movie,1977,"New York, New York","New York, New York",155,"Drama,Music,Musical",6.7,17296
tt1230385,movie,2010,The Yellow Sea,Hwanghae,157,"Action,Crime,Drama",7.3,17291
tt0401233,movie,2004,Appleseed,Appurushîdo,101,"Action,Animation,Drama",7.0,17291
tt0302674,movie,2002,Gerry,Gerry,103,"Adventure,Drama,Mystery",6.1,17286
tt8954732,movie,2018,The Princess Switch,The Princess Switch,101,Romance,6.0,17283
tt0080923,movie,1980,Inferno,Inferno,106,Horror,6.6,17282
tt0960890,movie,2008,Zombie Strippers!,Zombie Strippers!,94,"Comedy,Horror,Sci-Fi",4.1,17280
tt0032484,movie,1940,Foreign Correspondent,Foreign Correspondent,120,"Action,Romance,Thriller",7.5,17266
tt0097722,movie,1989,Lean on Me,Lean on Me,108,Drama,7.4,17256
tt0071249,movie,1974,Bring Me the Head of Alfredo Garcia,Bring Me the Head of Alfredo Garcia,112,"Action,Crime,Drama",7.5,17253
tt0449999,movie,2006,Kabhi Alvida Naa Kehna,Kabhi Alvida Naa Kehna,193,"Drama,Romance",6.1,17249
tt4126304,movie,2015,Cartel Land,Cartel Land,100,"Documentary,News",7.4,17235
tt1027862,movie,2008,Swing Vote,Swing Vote,120,"Comedy,Drama",6.1,17231
