tconst,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating
tt2763304,2017,T2 Trainspotting,T2 Trainspotting,117,Drama,7.2
tt1327773,2013,Lee Daniels' The Butler,The Butler,132,"Biography,Drama",7.2
tt0405508,2006,Rang De Basanti,Rang De Basanti,167,"Comedy,Drama",8.2
tt0385004,2004,House of Flying Daggers,Shi mian mai fu,119,"Action,Adventure,Drama",7.5
tt0096928,1989,Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure,90,"Adventure,Comedy,Music",6.9
tt1486185,2011,Red Riding Hood,Red Riding Hood,100,"Fantasy,Horror,Mystery",5.4
tt1131729,2009,Pirate Radio,The Boat That Rocked,135,"Comedy,Drama,Music",7.4
tt0421073,2008,Street Kings,Street Kings,109,"Action,Crime,Drama",6.8
tt0289992,2003,The Life of David Gale,The Life of David Gale,130,"Crime,Drama,Thriller",7.6
tt0295700,2003,Wrong Turn,Wrong Turn,84,Horror,6.1
tt1307068,2012,Seeking a Friend for the End of the World,Seeking a Friend for the End of the World,101,"Adventure,Comedy,Drama",6.7
tt0012349,1921,The Kid,The Kid,68,"Comedy,Drama,Family",8.3
tt0089881,1985,Ran,Ran,162,"Action,Drama",8.2
tt0340163,2005,Hostage,Hostage,113,"Action,Crime,Drama",6.6
tt5715874,2017,The Killing of a Sacred Deer,The Killing of a Sacred Deer,121,"Drama,Horror,Mystery",7.1
tt5308322,2017,Happy Death Day,Happy Death Day,96,"Horror,Mystery,Thriller",6.5
tt0460791,2006,The Fall,The Fall,117,"Adventure,Drama,Fantasy",7.9
tt0067116,1971,The French Connection,The French Connection,104,"Action,Crime,Drama",7.7
tt0120890,1998,Wild Things,Wild Things,108,"Crime,Drama,Mystery",6.5
tt1956620,2014,Sex Tape,Sex Tape,94,"Comedy,Romance",5.1
tt1602613,2013,Only God Forgives,Only God Forgives,90,"Action,Crime,Drama",5.7
tt0227538,2001,Spy Kids,Spy Kids,88,"Action,Adventure,Comedy",5.4
tt0445922,2007,Across the Universe,Across the Universe,133,"Drama,Fantasy,History",7.3
tt0203019,2000,Men of Honor,Men of Honor,129,"Biography,Drama",7.2
tt0200550,2000,Coyote Ugly,Coyote Ugly,100,"Comedy,Drama,Music",5.7
tt0405296,2006,A Scanner Darkly,A Scanner Darkly,100,"Animation,Crime,Drama",7.1
tt0055630,1961,Yojimbo,Yôjinbô,110,"Action,Drama,Thriller",8.2
tt5140878,2017,Annabelle: Creation,Annabelle: Creation,109,"Horror,Mystery,Thriller",6.5
tt0097351,1989,Field of Dreams,Field of Dreams,107,"Drama,Family,Fantasy",7.5
tt0137494,1999,Entrapment,Entrapment,113,"Action,Crime,Romance",6.3
tt3469046,2017,Despicable Me 3,Despicable Me 3,89,"Adventure,Animation,Comedy",6.3
tt1921064,2014,Pompeii,Pompeii,105,"Action,Adventure,Drama",5.5
tt6266538,2018,Vice,Vice,132,"Biography,Comedy,Drama",7.2
tt0348836,2003,Gothika,Gothika,98,"Horror,Mystery,Thriller",5.8
tt0056801,1963,8½,8½,138,Drama,8.0
tt0419706,2005,Doom,Doom,105,"Action,Adventure,Fantasy",5.2
tt0119395,1997,The Jackal,The Jackal,124,"Action,Crime,Drama",6.4
tt0146675,1999,End of Days,End of Days,122,"Action,Fantasy,Horror",5.8
tt0465580,2009,Push,Push,111,"Action,Sci-Fi,Thriller",6.1
tt0397101,2005,The Skeleton Key,The Skeleton Key,104,"Drama,Horror,Mystery",6.5
tt5813916,2016,The Mountain II,Dag II,135,"Action,Drama,War",8.9
tt1528854,2015,Daddy's Home,Daddy's Home,96,"Comedy,Family",6.2
tt0096256,1988,They Live,They Live,94,"Action,Horror,Sci-Fi",7.3
tt0929632,2009,Precious,Precious,110,Drama,7.3
tt0970866,2010,Little Fockers,Little Fockers,98,"Comedy,Romance",5.5
tt0404203,2006,Little Children,Little Children,136,"Drama,Romance",7.5
tt0092644,1987,Beverly Hills Cop II,Beverly Hills Cop II,100,"Action,Comedy,Crime",6.5
tt0075005,1976,The Omen,The Omen,111,Horror,7.5
tt1315981,2009,A Single Man,A Single Man,99,"Drama,Romance",7.6
tt0070666,1973,Serpico,Serpico,130,"Biography,Crime,Drama",7.7
tt1206543,2013,Out of the Furnace,Out of the Furnace,116,"Action,Crime,Drama",6.8
tt2312718,2013,Homefront,Homefront,100,"Action,Thriller",6.5
tt1622979,2011,Final Destination 5,Final Destination 5,92,"Horror,Thriller",5.8
tt0384806,2005,The Amityville Horror,The Amityville Horror,90,Horror,6.0
tt0313737,2002,Two Weeks Notice,Two Weeks Notice,101,"Comedy,Romance",6.1
tt0031679,1939,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,129,"Comedy,Drama",8.1
tt3410834,2016,Allegiant,Allegiant,120,"Action,Adventure,Mystery",5.7
